 Location,Block,Floor,Area,18:4b:0d:23:60:78,44:1e:98:fb:55:d8,44:1e:98:3b:55:dc,44:1e:98:bb:55:d8,60:d0:2c:9f:63:98,60:d0:2c:df:63:98,44:1e:98:bb:55:dc,44:1e:98:3b:55:d8,18:4b:0d:a3:60:78,18:4b:0d:e3:60:78,44:1e:98:fb:55:dc,18:4b:0d:dc:30:98,18:4b:0d:1c:30:98,60:d0:2c:df:63:9c,18:4b:0d:a3:75:38,18:4b:0d:e3:75:38,18:4b:0d:9c:30:98,24:79:2a:34:ea:0d,18:4b:0d:dc:30:9c,58:b6:33:fa:1c:dc,24:79:2a:74:ea:0c,58:b6:33:3a:1c:dc,60:d0:2c:1f:63:98,58:b6:33:ba:1c:dc,60:d0:2c:9f:63:9c,18:4b:0d:1c:30:9c,18:4b:0d:9c:30:9c,60:d0:2c:1f:63:9c,24:79:2a:f4:ea:0c,24:79:2a:f4:ea:08,24:79:2a:74:ea:08,24:79:2a:34:ea:09,58:b6:33:3a:1c:d8,58:b6:33:ba:1c:d8,58:b6:33:fa:1c:d8,18:4b:0d:a3:75:3c,18:4b:0d:e3:75:3c,18:4b:0d:23:75:38,18:4b:0d:e3:60:7c,18:4b:0d:23:60:7c,18:4b:0d:a3:60:7c,18:4b:0d:23:75:3c,1c:b9:c4:3d:84:e8,1c:b9:c4:fd:84:e8,1c:b9:c4:bd:84:e8,1c:b9:c4:bd:84:ec,1c:b9:c4:3d:84:ec,1c:b9:c4:fd:84:ec,2c:c5:d3:e0:f8:b8,2c:c5:d3:a0:f8:b8,80:03:84:9a:69:68,5c:df:89:da:c4:08,5c:df:89:9a:c4:08,20:58:69:39:70:e8,d8:38:fc:b5:9b:58,d8:38:fc:b5:dc:e8,d8:38:fc:35:dd:28,d8:38:fc:75:dd:28,d8:38:fc:35:9b:58,d8:38:fc:75:9b:58,d8:38:fc:75:dd:2c,d8:38:fc:78:bc:38,20:58:69:79:70:e8,d8:38:fc:b5:d6:28,d8:38:fc:b5:dd:28,d8:38:fc:35:dc:e8,d8:38:fc:75:dc:e8,d8:38:fc:b5:dd:2c,d8:38:fc:35:d6:28,d8:38:fc:75:d6:28,20:58:69:b9:70:e8,d8:38:fc:b8:bc:38,5c:df:89:1a:c4:08,80:03:84:da:69:68,24:79:2a:f4:ea:38,24:79:2a:b4:ea:38,Time
 LAB_0_6PM_K_1,1,0,11.0,-110,-81,-110,-81,-110,-110,-110,-82,-91,-110,-110,-81,-81,-67,-86,-87,-81,-71,-110,-81,-71,-82,-110,-81,-64,-110,-110,-66,-71,-68,-68,-67,-78,-78,-77,-110,-110,-87,-110,-110,-110,-110,-80,-80,-81,-82,-82,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_K_13,13,0,11.0,-82,-80,-82,-74,-71,-71,-80,-77,-81,-81,-84,-85,-86,-75,-84,-84,-85,-64,-87,-88,-65,-88,-70,-88,-74,-88,-88,-76,-64,-64,-66,-65,-74,-88,-88,-91,-91,-86,-86,-86,-87,-110,-110,-91,-91,-95,-110,-95,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_K_14,14,0,11.0,-82,-75,-110,-75,-71,-72,-88,-76,-81,-82,-88,-72,-73,-73,-83,-84,-72,-58,-110,-110,-58,-110,-73,-110,-73,-110,-110,-74,-58,-56,-55,-56,-85,-85,-87,-110,-110,-85,-90,-110,-110,-110,-110,-90,-91,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_K_2,2,0,11.0,-110,-90,-110,-92,-64,-65,-110,-110,-89,-88,-110,-81,-81,-67,-85,-85,-80,-62,-110,-110,-62,-110,-65,-110,-66,-110,-110,-68,-62,-61,-60,-61,-84,-83,-83,-110,-110,-86,-110,-110,-110,-110,-86,-85,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_L_1,1,0,12.0,-110,-88,-110,-88,-110,-110,-110,-82,-91,-110,-110,-90,-81,-62,-86,-91,-89,-64,-110,-85,-65,-85,-110,-85,-69,-110,-110,-69,-64,-61,-61,-61,-84,-83,-83,-110,-110,-87,-110,-110,-110,-110,-80,-80,-85,-89,-90,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_L_13,13,0,12.0,-79,-77,-83,-77,-70,-70,-82,-78,-78,-79,-82,-81,-86,-71,-84,-84,-85,-65,-84,-86,-67,-85,-71,-86,-69,-84,-83,-71,-66,-51,-50,-50,-85,-85,-85,-89,-88,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_L_14,14,0,12.0,-85,-83,-110,-83,-74,-74,-89,-84,-84,-85,-88,-83,-85,-69,-83,-84,-83,-58,-110,-110,-59,-110,-76,-110,-68,-110,-110,-70,-58,-60,-60,-60,-86,-86,-87,-110,-110,-85,-89,-110,-90,-110,-110,-90,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_L_2,2,0,12.0,-110,-110,-110,-110,-64,-65,-110,-110,-89,-88,-110,-81,-81,-67,-85,-85,-80,-62,-110,-110,-62,-110,-65,-110,-66,-110,-110,-68,-62,-61,-60,-61,-84,-83,-83,-110,-110,-110,-110,-110,-110,-110,-86,-85,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_M_1,1,0,13.0,-110,-88,-110,-88,-110,-110,-110,-110,-110,-110,-110,-90,-110,-62,-86,-91,-89,-64,-110,-85,-65,-85,-110,-85,-69,-110,-110,-69,-64,-61,-61,-61,-84,-83,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-85,-89,-90,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_M_13,13,0,13.0,-88,-79,-83,-79,-70,-70,-89,-80,-87,-87,-89,-79,-80,-72,-76,-76,-78,-68,-83,-91,-69,-110,-70,-91,-74,-83,-83,-75,-68,-60,-60,-60,-85,-85,-85,-89,-88,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_M_14,14,0,13.0,-78,-81,-110,-82,-69,-69,-91,-82,-78,-78,-91,-74,-75,-71,-89,-90,-74,-62,-110,-110,-63,-110,-70,-110,-71,-110,-110,-73,-62,-65,-65,-65,-85,-86,-85,-110,-110,-85,-87,-110,-88,-110,-110,-90,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_M_2,2,0,13.0,-110,-84,-110,-82,-61,-60,-110,-84,-89,-90,-110,-81,-82,-64,-78,-78,-81,-58,-110,-110,-59,-110,-61,-110,-63,-110,-110,-65,-66,-57,-58,-58,-87,-77,-78,-110,-110,-79,-110,-110,-110,-110,-78,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_N_1,1,0,14.0,-110,-89,-110,-90,-110,-110,-92,-110,-91,-92,-92,-87,-87,-68,-84,-85,-87,-67,-110,-87,-68,-87,-110,-87,-66,-110,-110,-67,-67,-60,-60,-60,-81,-81,-82,-110,-110,-85,-110,-110,-110,-110,-82,-81,-81,-87,-87,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_N_13,13,0,14.0,-86,-82,-110,-79,-74,-74,-86,-79,-84,-85,-86,-87,-87,-71,-76,-76,-87,-56,-83,-87,-57,-87,-75,-88,-73,-83,-83,-74,-56,-34,-27,-27,-80,-84,-83,-92,-92,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_N_14,14,0,14.0,-82,-85,-110,-84,-72,-72,-87,-85,-81,-81,-87,-79,-80,-68,-86,-90,-79,-62,-110,-110,-64,-110,-74,-110,-68,-110,-110,-70,-63,-57,-58,-58,-83,-89,-89,-110,-110,-85,-87,-89,-88,-110,-110,-89,-89,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_N_2,2,0,14.0,-84,-79,-110,-80,-60,-60,-110,-81,-83,-84,-110,-86,-86,-68,-87,-86,-86,-70,-110,-110,-70,-110,-62,-110,-68,-110,-110,-70,-70,-60,-60,-59,-78,-78,-78,-110,-110,-83,-110,-110,-110,-110,-82,-81,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_O_1,1,0,15.0,-110,-87,-110,-87,-69,-69,-92,-86,-91,-92,-92,-87,-87,-64,-97,-96,-87,-69,-110,-87,-71,-87,-70,-87,-65,-110,-110,-67,-70,-60,-60,-60,-88,-89,-89,-110,-110,-85,-110,-110,-110,-110,-85,-84,-85,-86,-86,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_O_13,13,0,15.0,-86,-82,-110,-110,-74,-74,-86,-79,-84,-85,-86,-80,-81,-74,-83,-83,-80,-73,-110,-90,-74,-87,-75,-91,-73,-110,-110,-74,-73,-68,-68,-68,-80,-84,-83,-91,-92,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_O_14,14,0,15.0,-76,-78,-84,-78,-84,-67,-82,-79,-75,-75,-83,-80,-82,-69,-85,-85,-80,-70,-110,-110,-70,-110,-68,-110,-68,-110,-110,-70,-70,-68,-69,-69,-81,-81,-80,-110,-110,-85,-81,-82,-81,-110,-85,-86,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_O_2,2,0,15.0,-90,-90,-110,-91,-64,-64,-110,-85,-88,-89,-110,-87,-83,-59,-85,-85,-88,-66,-110,-110,-66,-110,-66,-110,-58,-110,-110,-60,-66,-55,-55,-56,-84,-84,-84,-110,-110,-86,-110,-110,-110,-110,-78,-78,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_1,1,0,16.0,-110,-86,-110,-86,-63,-64,-85,-110,-110,-110,-86,-84,-110,-63,-82,-82,-84,-61,-88,-85,-61,-110,-64,-86,-63,-110,-86,-64,-61,-57,-57,-57,-110,-84,-84,-110,-110,-81,-110,-110,-110,-110,-110,-110,-110,-88,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_10,10,0,16.0,-110,-77,-110,-78,-59,-110,-110,-79,-110,-110,-110,-73,-74,-50,-78,-78,-73,-66,-83,-85,-67,-84,-60,-85,-50,-83,-83,-52,-66,-61,-61,-61,-110,-110,-110,-81,-82,-78,-110,-110,-110,-82,-110,-110,-110,-85,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_11,11,0,16.0,-110,-73,-76,-73,-56,-110,-74,-73,-110,-110,-74,-67,-68,-50,-67,-68,-66,-73,-81,-80,-72,-80,-56,-80,-49,-81,-80,-51,-73,-65,-64,-65,-110,-110,-110,-75,-75,-68,-76,-77,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_12,12,0,16.0,-68,-77,-76,-77,-56,-110,-74,-78,-67,-67,-74,-67,-79,-67,-68,-68,-79,-69,-86,-85,-71,-85,-56,-85,-67,-81,-87,-68,-69,-63,-63,-63,-110,-110,-110,-82,-81,-69,-86,-77,-85,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_2,2,0,16.0,-110,-78,-110,-77,-57,-58,-83,-78,-110,-110,-83,-110,-110,-61,-82,-82,-110,-66,-110,-85,-66,-110,-58,-86,-61,-110,-86,-62,-66,-58,-58,-57,-74,-74,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-88,-110,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_3,3,0,16.0,-110,-78,-110,-77,-57,-58,-83,-78,-110,-110,-83,-110,-110,-61,-110,-110,-110,-66,-110,-110,-66,-110,-58,-110,-61,-110,-110,-62,-66,-58,-58,-57,-74,-74,-74,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_4,4,0,16.0,-110,-80,-80,-82,-53,-53,-84,-81,-110,-110,-83,-81,-82,-52,-83,-81,-81,-67,-110,-86,-68,-110,-54,-85,-52,-110,-110,-53,-67,-56,-56,-56,-81,-82,-82,-81,-81,-80,-110,-110,-110,-110,-79,-78,-79,-84,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_5,5,0,16.0,-110,-80,-110,-82,-53,-53,-84,-81,-110,-110,-83,-81,-82,-52,-83,-81,-81,-67,-110,-110,-68,-110,-54,-85,-52,-110,-110,-53,-67,-56,-56,-56,-81,-82,-82,-81,-81,-110,-110,-110,-110,-110,-79,-78,-79,-84,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_6,6,0,16.0,-81,-80,-110,-82,-53,-53,-84,-81,-110,-80,-84,-81,-82,-49,-72,-73,-81,-65,-110,-110,-65,-110,-54,-85,-49,-110,-110,-50,-65,-56,-56,-56,-81,-82,-82,-81,-81,-73,-84,-110,-85,-110,-79,-78,-79,-84,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_7,7,0,16.0,-81,-78,-110,-78,-51,-52,-110,-79,-110,-80,-84,-110,-110,-48,-74,-74,-110,-70,-110,-82,-71,-82,-53,-81,-47,-110,-110,-49,-70,-110,-110,-110,-110,-110,-110,-78,-78,-75,-87,-110,-88,-78,-110,-110,-110,-85,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_8,8,0,16.0,-110,-73,-110,-75,-51,-52,-110,-75,-77,-78,-110,-73,-74,-49,-78,-78,-73,-68,-83,-84,-69,-84,-53,-84,-48,-83,-83,-50,-68,-59,-59,-59,-75,-76,-75,-77,-77,-78,-87,-110,-88,-79,-110,-110,-110,-85,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_P_9,9,0,16.0,-110,-110,-110,-75,-110,-110,-110,-75,-110,-110,-110,-73,-74,-49,-78,-78,-73,-68,-83,-84,-69,-84,-110,-84,-48,-83,-83,-50,-68,-59,-59,-59,-110,-110,-110,-77,-77,-78,-110,-110,-110,-79,-110,-110,-110,-85,-110,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_1,1,0,17.0,-110,-80,-110,-81,-110,-110,-80,-110,-110,-110,-81,-82,-68,-66,-76,-76,-82,-64,-83,-86,-65,-110,-110,-86,-64,-110,-81,-66,-64,-54,-54,-54,-79,-79,-79,-110,-110,-76,-110,-110,-110,-110,-110,-82,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_10,10,0,17.0,-72,-73,-81,-73,-50,-50,-79,-73,-72,-71,-80,-110,-110,-48,-74,-74,-110,-71,-85,-83,-71,-110,-50,-82,-49,-110,-85,-50,-71,-110,-110,-110,-79,-79,-80,-77,-77,-75,-84,-78,-77,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_11,11,0,17.0,-67,-67,-77,-67,-110,-110,-76,-69,-66,-65,-75,-110,-110,-57,-71,-71,-110,-67,-86,-84,-68,-110,-110,-83,-51,-110,-86,-53,-67,-110,-110,-110,-75,-74,-74,-79,-80,-71,-83,-110,-83,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_12,12,0,17.0,-65,-70,-79,-70,-110,-110,-78,-71,-64,-64,-77,-67,-67,-64,-69,-68,-66,-66,-86,-85,-67,-110,-110,-86,-65,-110,-86,-67,-66,-110,-110,-110,-71,-72,-71,-81,-81,-69,-80,-81,-80,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_2,2,0,17.0,-110,-77,-75,-78,-110,-110,-74,-77,-110,-110,-75,-82,-110,-61,-74,-74,-82,-61,-110,-86,-61,-110,-110,-84,-59,-110,-110,-61,-61,-53,-53,-53,-76,-76,-76,-85,-86,-74,-110,-110,-110,-110,-110,-79,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_3,3,0,17.0,-110,-76,-76,-75,-110,-110,-75,-76,-110,-110,-74,-110,-110,-57,-76,-76,-110,-62,-110,-85,-63,-110,-110,-84,-58,-110,-110,-60,-62,-52,-52,-52,-76,-76,-78,-85,-86,-77,-110,-110,-110,-110,-110,-79,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_4,4,0,17.0,-110,-78,-76,-78,-47,-47,-75,-79,-110,-110,-74,-79,-79,-52,-77,-77,-78,-65,-110,-85,-66,-110,-47,-86,-52,-110,-110,-55,-65,-53,-53,-53,-110,-110,-78,-86,-85,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_5,5,0,17.0,-110,-78,-110,-78,-47,-47,-110,-79,-110,-110,-110,-79,-79,-52,-77,-77,-78,-65,-110,-110,-66,-110,-47,-86,-52,-110,-110,-55,-65,-53,-53,-53,-110,-110,-110,-86,-85,-79,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_6,6,0,17.0,-110,-78,-110,-78,-47,-47,-85,-79,-110,-110,-110,-78,-79,-55,-72,-72,-78,-68,-110,-81,-67,-110,-47,-80,-49,-110,-110,-52,-67,-58,-58,-59,-110,-110,-110,-79,-79,-72,-110,-110,-110,-79,-110,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_7,7,0,17.0,-110,-77,-110,-77,-49,-49,-85,-110,-110,-110,-110,-78,-79,-53,-72,-72,-78,-72,-110,-81,-71,-110,-50,-80,-55,-110,-110,-57,-71,-58,-58,-59,-110,-110,-110,-83,-82,-72,-110,-110,-110,-79,-110,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_8,8,0,17.0,-78,-73,-110,-73,-49,-49,-81,-73,-78,-78,-82,-78,-79,-61,-70,-70,-78,-71,-110,-85,-72,-110,-50,-83,-56,-110,-110,-58,-71,-110,-110,-110,-75,-74,-75,-81,-81,-71,-110,-110,-85,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_6PM_Q_9,9,0,17.0,-78,-70,-77,-70,-50,-50,-77,-71,-78,-78,-77,-110,-110,-53,-70,-70,-110,-68,-85,-83,-69,-110,-50,-82,-46,-110,-85,-49,-68,-110,-110,-110,-75,-74,-75,-81,-82,-71,-77,-78,-77,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,6
 LAB_0_9AM_A_1,1,0,1.0,-110,-76,-84,-76,-72,-72,-82,-77,-87,-87,-83,-60,-60,-71,-87,-87,-59,-76,-68,-63,-76,-73,-73,-63,-72,-69,-68,-74,-76,-67,-67,-67,-65,-64,-65,-110,-110,-88,-86,-110,-86,-110,-87,-87,-87,-110,-110,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
 LAB_0_9AM_A_10,10,0,1.0,-110,-81,-110,-81,-67,-67,-110,-83,-110,-110,-110,-110,-110,-70,-110,-110,-110,-75,-110,-69,-75,-69,-67,-70,-71,-110,-110,-72,-74,-70,-69,-70,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-88,-89,-88,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
 LAB_0_9AM_A_11,11,0,1.0,-110,-85,-110,-85,-62,-66,-110,-85,-110,-110,-110,-84,-85,-66,-86,-86,-85,-77,-110,-80,-77,-80,-64,-80,-69,-110,-110,-70,-77,-70,-64,-70,-110,-110,-110,-110,-110,-87,-110,-110,-110,-110,-92,-91,-91,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
 LAB_0_9AM_A_12,12,0,1.0,-110,-91,-110,-91,-70,-71,-110,-85,-110,-110,-110,-84,-85,-73,-87,-87,-85,-70,-110,-80,-71,-80,-71,-80,-75,-110,-110,-77,-70,-67,-67,-67,-72,-72,-68,-110,-110,-88,-110,-110,-110,-110,-92,-92,-92,-110,-110,-110,-88,-88,-110,-85,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
 LAB_0_9AM_A_2,2,0,1.0,-110,-85,-110,-85,-69,-69,-110,-85,-110,-110,-110,-61,-61,-68,-110,-110,-60,-72,-63,-71,-73,-71,-71,-70,-68,-63,-63,-69,-72,-73,-71,-71,-66,-66,-66,-110,-110,-110,-110,-110,-110,-110,-85,-85,-85,-87,-87,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
 LAB_0_9AM_A_3,3,0,1.0,-110,-85,-110,-85,-69,-69,-110,-85,-110,-110,-110,-61,-61,-68,-110,-110,-60,-72,-63,-71,-73,-71,-71,-70,-68,-63,-63,-69,-72,-73,-71,-71,-66,-66,-66,-110,-110,-110,-110,-110,-110,-110,-85,-85,-85,-87,-87,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,9
