 Location,Block,Floor,Area,18:4b:0d:23:60:78,44:1e:98:fb:55:d8,44:1e:98:3b:55:dc,44:1e:98:bb:55:d8,60:d0:2c:9f:63:98,60:d0:2c:df:63:98,44:1e:98:bb:55:dc,44:1e:98:3b:55:d8,18:4b:0d:a3:60:78,18:4b:0d:e3:60:78,44:1e:98:fb:55:dc,18:4b:0d:dc:30:98,18:4b:0d:1c:30:98,60:d0:2c:df:63:9c,18:4b:0d:a3:75:38,18:4b:0d:e3:75:38,18:4b:0d:9c:30:98,24:79:2a:34:ea:0d,18:4b:0d:dc:30:9c,58:b6:33:fa:1c:dc,24:79:2a:74:ea:0c,58:b6:33:3a:1c:dc,60:d0:2c:1f:63:98,58:b6:33:ba:1c:dc,60:d0:2c:9f:63:9c,18:4b:0d:1c:30:9c,18:4b:0d:9c:30:9c,60:d0:2c:1f:63:9c,24:79:2a:f4:ea:0c,24:79:2a:f4:ea:08,24:79:2a:74:ea:08,24:79:2a:34:ea:09,58:b6:33:3a:1c:d8,58:b6:33:ba:1c:d8,58:b6:33:fa:1c:d8,18:4b:0d:a3:75:3c,18:4b:0d:e3:75:3c,18:4b:0d:23:75:38,18:4b:0d:e3:60:7c,18:4b:0d:23:60:7c,18:4b:0d:a3:60:7c,18:4b:0d:23:75:3c,1c:b9:c4:3d:84:e8,1c:b9:c4:fd:84:e8,1c:b9:c4:bd:84:e8,1c:b9:c4:bd:84:ec,1c:b9:c4:3d:84:ec,1c:b9:c4:fd:84:ec,2c:c5:d3:e0:f8:b8,2c:c5:d3:a0:f8:b8,80:03:84:9a:69:68,5c:df:89:da:c4:08,5c:df:89:9a:c4:08,20:58:69:39:70:e8,d8:38:fc:b5:9b:58,d8:38:fc:b5:dc:e8,d8:38:fc:35:dd:28,d8:38:fc:75:dd:28,d8:38:fc:35:9b:58,d8:38:fc:75:9b:58,d8:38:fc:75:dd:2c,d8:38:fc:78:bc:38,20:58:69:79:70:e8,d8:38:fc:b5:d6:28,d8:38:fc:b5:dd:28,d8:38:fc:35:dc:e8,d8:38:fc:75:dc:e8,d8:38:fc:b5:dd:2c,d8:38:fc:35:d6:28,d8:38:fc:75:d6:28,20:58:69:b9:70:e8,d8:38:fc:b8:bc:38,5c:df:89:1a:c4:08,80:03:84:da:69:68,24:79:2a:f4:ea:38,24:79:2a:b4:ea:38,Time
 LAB_1_3PM_P_1,1,1,16.0,-110,-79,-110,-73,-70,-70,-86,-79,-110,-110,-110,-110,-110,-73,-80,-81,-110,-41,-110,-82,-42,-83,-71,-82,-72,-110,-110,-74,-41,-28,-29,-28,-74,-79,-78,-110,-110,-110,-110,-110,-110,-110,-110,-71,-70,-85,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_10,10,1,16.0,-110,-76,-110,-76,-60,-61,-110,-76,-110,-110,-110,-110,-110,-64,-110,-110,-110,-62,-110,-85,-62,-80,-61,-85,-64,-110,-110,-66,-62,-53,-53,-53,-76,-76,-75,-79,-78,-110,-81,-80,-81,-79,-74,-74,-73,-83,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_11,11,1,16.0,-110,-76,-110,-76,-60,-61,-110,-76,-110,-110,-110,-110,-110,-64,-110,-110,-110,-62,-110,-85,-62,-110,-61,-85,-64,-110,-110,-66,-62,-110,-110,-110,-110,-110,-110,-79,-78,-110,-81,-80,-81,-79,-74,-74,-73,-83,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_12,12,1,16.0,-110,-77,-77,-77,-63,-63,-76,-77,-110,-110,-76,-110,-110,-69,-66,-66,-110,-62,-110,-85,-62,-110,-64,-86,-69,-110,-110,-70,-61,-110,-110,-110,-77,-77,-77,-81,-80,-67,-69,-70,-69,-82,-72,-74,-71,-83,-110,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_2,2,1,16.0,-110,-110,-110,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-63,-75,-75,-110,-36,-110,-88,-36,-83,-110,-85,-63,-110,-110,-64,-36,-30,-30,-30,-74,-79,-78,-82,-82,-75,-110,-110,-110,-110,-66,-68,-66,-85,-110,-85,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_3,3,1,16.0,-110,-72,-110,-72,-110,-110,-110,-73,-110,-110,-110,-110,-110,-63,-75,-75,-110,-47,-110,-86,-48,-110,-110,-86,-63,-110,-110,-64,-47,-30,-30,-30,-110,-71,-72,-82,-82,-75,-110,-110,-110,-110,-67,-68,-68,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_4,4,1,16.0,-110,-76,-110,-76,-57,-56,-110,-76,-110,-110,-110,-110,-110,-59,-78,-78,-110,-51,-110,-87,-51,-110,-110,-86,-59,-110,-110,-60,-52,-110,-110,-110,-110,-71,-72,-81,-80,-79,-110,-110,-110,-82,-67,-68,-68,-81,-81,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_5,5,1,16.0,-110,-76,-110,-76,-57,-56,-110,-76,-110,-110,-110,-110,-110,-59,-78,-78,-110,-51,-110,-87,-51,-110,-110,-86,-59,-110,-110,-60,-52,-110,-110,-110,-110,-110,-110,-81,-80,-79,-110,-110,-110,-82,-110,-110,-110,-81,-81,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_6,6,1,16.0,-110,-76,-110,-76,-57,-56,-110,-76,-110,-110,-110,-110,-110,-59,-78,-78,-110,-51,-110,-87,-51,-110,-110,-86,-59,-110,-110,-60,-52,-110,-110,-110,-110,-110,-110,-81,-80,-79,-110,-110,-110,-82,-110,-110,-110,-81,-81,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
 LAB_1_3PM_P_7,7,1,16.0,-110,-71,-110,-71,-54,-55,-110,-72,-110,-110,-110,-110,-110,-58,-72,-72,-110,-57,-110,-85,-58,-110,-55,-85,-59,-110,-110,-59,-57,-110,-110,-110,-110,-110,-110,-70,-70,-72,-110,-110,-110,-71,-70,-70,-70,-81,-81,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,3
